Set,Insert/Subset,Card #,Player,Team,Base,Parallel Blue,Parallel Yellow,Parallel Green,Special
Insert,Badge,1,Team Badge,Arsenal,,,,,
Base,Base,2,David Raya,Arsenal,,,,,
Base,Base,3,William Saliba,Arsenal,,,,,
Base,Base,4,Gabriel Magalhães,Arsenal,,,,,
Base,Base,5,Jurriën Timber,Arsenal,,,,,
Base,Base,6,Mikel Merino,Arsenal,,,,,
Base,Base,7,Thomas Partey,Arsenal,,,,,
Base,Base,8,Declan Rice,Arsenal,,,,,
Base,Base,9,Myles Lewis-Skelly,Arsenal,,,,,
Base,Base,10,Martin Ødegaard,Arsenal,,,,,
Base,Base,11,Ethan Nwaneri,Arsenal,,,,,
Base,Base,12,Bukayo Saka,Arsenal,,,,,
Base,Base,13,Gabriel Martinelli,Arsenal,,,,,
Base,Base,14,Leandro Trossard,Arsenal,,,,,
Base,Base,15,Kai Havertz,Arsenal,,,,,
Insert,Generation Now,16,Gabriel Martinelli,Arsenal,,,,,
Insert,Full Force,17,Jurriën Timber,Arsenal,,,,,
Insert,Breakthrough Baller,18,Myles Lewis-Skelly,Arsenal,,,,,
Insert,Badge,19,Team Badge,Aston Villa,,,,,
Base,Base,20,Emiliano Martínez,Aston Villa,,,,,
Base,Base,21,Pau Torres,Aston Villa,,,,,
Base,Base,22,Ezri Konsa,Aston Villa,,,,,
Base,Base,23,Matty Cash,Aston Villa,,,,,
Base,Base,24,Lucas Digne,Aston Villa,,,,,
Base,Base,25,Boubacar Kamara,Aston Villa,,,,,
Base,Base,26,Amadou Onana,Aston Villa,,,,,
Base,Base,27,John McGinn,Aston Villa,,,,,
Base,Base,28,Youri Tielemans,Aston Villa,,,,,
Base,Base,29,Jacob Ramsey,Aston Villa,,,,,
Base,Base,30,Morgan Rogers,Aston Villa,,,,,
Base,Base,31,Louie Barry,Aston Villa RC,,,,,
Base,Base,32,Donyell Malen,Aston Villa,,,,,
Base,Base,33,Ollie Watkins,Aston Villa,,,,,
Insert,Generation Now,34,Boubacar Kamara,Aston Villa (Generation Now),,,,,
Insert,Full Force,35,John McGinn,Aston Villa (Full Force),,,,,
Insert,Tekkers,36,Donyell Malen,Aston Villa (Tekkers),,,,,
Insert,Badge,37,Team Badge,AFC Bournemouth,,,,,
Base,Base,38,Kepa Arrizabalaga,AFC Bournemouth,,,,,
Base,Base,39,Illia Zabarnyi,AFC Bournemouth,,,,,
Base,Base,40,Dean Huijsen,AFC Bournemouth,,,,,
Base,Base,41,Julio Soler,AFC Bournemouth RC,,,,,
Base,Base,42,Milos Kerkez,AFC Bournemouth,,,,,
Base,Base,43,Tyler Adams,AFC Bournemouth,,,,,
Base,Base,44,Lewis Cook,AFC Bournemouth,,,,,
Base,Base,45,Ryan Christie,AFC Bournemouth,,,,,
Base,Base,46,Luis Sinisterra,AFC Bournemouth,,,,,
Base,Base,47,Antoine Semenyo,AFC Bournemouth,,,,,
Base,Base,48,Justin Kluivert,AFC Bournemouth,,,,,
Base,Base,49,Eli Junior Kroupi,AFC Bournemouth,,,,,
Base,Base,50,Dango Ouattara,AFC Bournemouth,,,,,
Base,Base,51,Evanilson,AFC Bournemouth,,,,,
Insert,Generation Now,52,Milos Kerkez,AFC Bournemouth (Generation Now),,,,,
Insert,Full Force,53,Illia Zabarnyi,AFC Bournemouth (Full Force),,,,,
